cmd,sent_at,status,notifications
0x00,2025-11-15T14:07:56.877572Z,OK,
0x01,2025-11-15T14:07:59.916284Z,OK,2025-11-15T14:07:59.975621Z 0101000000000000000000000000000000000000
0x02,2025-11-15T14:08:02.977347Z,OK,
0x03,2025-11-15T14:08:06.139517Z,OK,2025-11-15T14:08:06.287491Z 0301000000000000000000000000000000000000
0x04,,SKIPPED (safe blacklist),
0x05,,SKIPPED (safe blacklist),
0x06,2025-11-15T14:08:09.289386Z,OK,
0x07,2025-11-15T14:08:12.438777Z,OK,2025-11-15T14:08:12.587222Z 0701000000010000000000000000000000000000
0x08,2025-11-15T14:08:15.588948Z,OK,
0x09,2025-11-15T14:08:18.738675Z,OK,
0x0A,2025-11-15T14:08:21.888927Z,OK,
0x0B,2025-11-15T14:08:25.039365Z,OK,
0x0C,2025-11-15T14:08:28.188043Z,OK,
0x0D,2025-11-15T14:08:31.338054Z,OK,
0x0E,2025-11-15T14:08:34.487602Z,OK,
0x0F,2025-11-15T14:08:37.635653Z,OK,
0x10,2025-11-15T14:08:40.786880Z,OK,
0x11,2025-11-15T14:08:43.935214Z,OK,
0x12,2025-11-15T14:08:47.086415Z,OK,
0x13,2025-11-15T14:08:50.236891Z,OK,
0x14,2025-11-15T14:08:53.387471Z,OK,
0x15,2025-11-15T14:08:56.538500Z,OK,
0x16,2025-11-15T14:08:59.685573Z,OK,
0x17,2025-11-15T14:09:02.835761Z,OK,
0x18,2025-11-15T14:09:05.989073Z,OK,
0x19,2025-11-15T14:09:09.135987Z,OK,
0x1A,2025-11-15T14:09:12.286832Z,OK,2025-11-15T14:09:12.434612Z 1A01000100000000000000000000000000000000
0x1B,2025-11-15T14:09:15.436829Z,OK,
0x1C,2025-11-15T14:09:18.587669Z,OK,
0x1D,2025-11-15T14:09:21.735237Z,OK,
0x1E,2025-11-15T14:09:24.887884Z,OK,
0x1F,2025-11-15T14:09:28.037032Z,OK,
0x20,2025-11-15T14:09:31.187730Z,OK,
0x21,2025-11-15T14:09:34.336324Z,OK,
0x22,2025-11-15T14:09:37.489096Z,OK,
0x23,2025-11-15T14:09:40.638457Z,OK,
0x24,2025-11-15T14:09:43.785726Z,OK,
0x25,2025-11-15T14:09:46.962614Z,OK,
0x26,2025-11-15T14:09:50.085908Z,OK,
0x27,2025-11-15T14:09:53.238656Z,OK,
0x28,2025-11-15T14:09:56.391321Z,OK,
0x29,2025-11-15T14:09:59.538610Z,OK,
0x2A,2025-11-15T14:10:02.686777Z,OK,
0x2B,2025-11-15T14:10:05.836284Z,OK,
0x2C,2025-11-15T14:10:08.988880Z,OK,
0x2D,2025-11-15T14:10:12.139050Z,OK,
0x2E,2025-11-15T14:10:15.289534Z,OK,
0x2F,2025-11-15T14:10:18.437555Z,OK,
0x30,2025-11-15T14:10:21.586793Z,OK,
0x31,2025-11-15T14:10:24.737489Z,OK,
0x32,2025-11-15T14:10:27.887647Z,OK,
0x33,2025-11-15T14:10:31.037828Z,OK,
0x34,2025-11-15T14:10:34.186807Z,OK,
0x35,2025-11-15T14:10:37.338194Z,OK,
0x36,2025-11-15T14:10:40.487274Z,OK,
0x37,2025-11-15T14:10:43.640767Z,OK,
0x38,2025-11-15T14:10:46.790945Z,OK,
0x39,2025-11-15T14:10:49.937369Z,OK,
0x3A,2025-11-15T14:10:53.087778Z,OK,
0x3B,2025-11-15T14:10:56.237214Z,OK,
0x3C,2025-11-15T14:10:59.389917Z,OK,
0x3D,2025-11-15T14:11:02.538447Z,OK,
0x3E,2025-11-15T14:11:05.687600Z,OK,
0x3F,2025-11-15T14:11:08.837655Z,OK,
0x40,2025-11-15T14:11:11.988427Z,OK,
0x41,2025-11-15T14:11:15.140158Z,OK,
0x42,2025-11-15T14:11:18.289200Z,OK,
0x43,2025-11-15T14:11:21.437137Z,OK,
0x44,2025-11-15T14:11:24.588691Z,OK,
0x45,2025-11-15T14:11:27.737269Z,OK,
0x46,2025-11-15T14:11:30.888381Z,OK,
0x47,2025-11-15T14:11:34.039003Z,OK,
0x48,2025-11-15T14:11:37.188338Z,OK,
0x49,2025-11-15T14:11:40.337578Z,OK,
0x4A,2025-11-15T14:11:43.490767Z,OK,
0x4B,2025-11-15T14:11:46.637507Z,OK,
0x4C,2025-11-15T14:11:49.789256Z,OK,
0x4D,2025-11-15T14:11:52.943619Z,OK,
0x4E,2025-11-15T14:11:56.088724Z,OK,
0x4F,2025-11-15T14:11:59.236873Z,OK,
0x50,2025-11-15T14:12:02.388407Z,OK,
0x51,2025-11-15T14:12:05.538966Z,OK,
0x52,2025-11-15T14:12:08.692369Z,OK,
0x53,2025-11-15T14:12:11.838017Z,OK,
0x54,2025-11-15T14:12:14.989059Z,OK,
0x55,2025-11-15T14:12:18.137378Z,OK,
0x56,2025-11-15T14:12:21.289056Z,OK,
0x57,2025-11-15T14:12:24.437796Z,OK,
0x58,2025-11-15T14:12:27.592209Z,OK,
0x59,2025-11-15T14:12:30.739519Z,OK,
0x5A,2025-11-15T14:12:33.887824Z,OK,
0x5B,2025-11-15T14:12:37.038563Z,OK,
0x5C,2025-11-15T14:12:40.191294Z,OK,
0x5D,2025-11-15T14:12:43.339488Z,OK,
0x5E,2025-11-15T14:12:46.488202Z,OK,
0x5F,2025-11-15T14:12:49.638242Z,OK,
0x60,2025-11-15T14:12:52.790095Z,OK,
0x61,2025-11-15T14:12:55.939094Z,OK,
0x62,2025-11-15T14:12:59.092706Z,OK,
0x63,2025-11-15T14:13:02.237563Z,OK,
0x64,2025-11-15T14:13:05.389679Z,OK,
0x65,2025-11-15T14:13:08.538336Z,OK,
0x66,2025-11-15T14:13:11.690208Z,OK,
0x67,2025-11-15T14:13:14.843281Z,OK,
0x68,2025-11-15T14:13:17.993912Z,OK,
0x69,2025-11-15T14:13:21.144304Z,OK,
0x6A,2025-11-15T14:13:24.288818Z,OK,
0x6B,2025-11-15T14:13:27.438828Z,OK,
0x6C,2025-11-15T14:13:30.590632Z,OK,
0x6D,2025-11-15T14:13:33.739352Z,OK,
0x6E,2025-11-15T14:13:36.888071Z,OK,
0x6F,2025-11-15T14:13:40.038348Z,OK,
0x70,2025-11-15T14:13:43.190680Z,OK,
0x71,2025-11-15T14:13:46.341607Z,OK,
0x72,2025-11-15T14:13:49.490394Z,OK,
0x73,2025-11-15T14:13:52.642110Z,OK,
0x74,2025-11-15T14:13:55.789966Z,OK,
0x75,2025-11-15T14:13:58.940169Z,OK,
0x76,2025-11-15T14:14:02.101319Z,OK,
0x77,2025-11-15T14:14:05.240539Z,OK,
0x78,2025-11-15T14:14:08.389952Z,OK,
0x79,2025-11-15T14:14:11.537575Z,OK,
0x7A,2025-11-15T14:14:14.689948Z,OK,
0x7B,2025-11-15T14:14:17.838485Z,OK,
0x7C,2025-11-15T14:14:20.990464Z,OK,
0x7D,2025-11-15T14:14:24.139657Z,OK,
0x7E,2025-11-15T14:14:27.289244Z,OK,
0x7F,2025-11-15T14:14:30.442923Z,OK,
0x80,2025-11-15T14:14:33.589806Z,OK,
0x81,2025-11-15T14:14:36.741257Z,OK,
0x82,2025-11-15T14:14:39.889351Z,OK,
0x83,2025-11-15T14:14:43.042071Z,OK,
0x84,2025-11-15T14:14:46.189155Z,OK,
0x85,2025-11-15T14:14:49.338707Z,OK,
0x86,2025-11-15T14:14:52.487652Z,OK,
0x87,2025-11-15T14:14:55.638797Z,OK,
0x88,2025-11-15T14:14:58.789041Z,OK,
0x89,2025-11-15T14:15:01.943378Z,OK,
0x8A,2025-11-15T14:15:05.088385Z,OK,
0x8B,2025-11-15T14:15:08.238901Z,OK,
0x8C,2025-11-15T14:15:11.389524Z,OK,
0x8D,2025-11-15T14:15:14.539483Z,OK,
0x8E,2025-11-15T14:15:17.691378Z,OK,
0x8F,2025-11-15T14:15:20.838867Z,OK,
0x90,2025-11-15T14:15:23.989691Z,OK,
0x91,2025-11-15T14:15:27.137815Z,OK,
0x92,2025-11-15T14:15:30.289614Z,OK,
0x93,2025-11-15T14:15:33.440610Z,OK,
0x94,2025-11-15T14:15:36.591245Z,OK,
0x95,2025-11-15T14:15:39.740091Z,OK,
0x96,2025-11-15T14:15:42.889979Z,OK,
0x97,2025-11-15T14:15:46.040111Z,OK,
0x98,2025-11-15T14:15:49.191523Z,OK,
0x99,2025-11-15T14:15:52.339208Z,OK,
0x9A,2025-11-15T14:15:55.489653Z,OK,
0x9B,2025-11-15T14:15:58.640017Z,OK,
0x9C,2025-11-15T14:16:01.792378Z,OK,
0x9D,2025-11-15T14:16:04.939489Z,OK,
0x9E,2025-11-15T14:16:08.094380Z,OK,
0x9F,2025-11-15T14:16:11.245394Z,OK,
0xA0,2025-11-15T14:16:14.390804Z,OK,
0xA1,2025-11-15T14:16:17.540840Z,OK,
0xA2,2025-11-15T14:16:20.689051Z,OK,
0xA3,2025-11-15T14:16:23.843426Z,OK,
0xA4,2025-11-15T14:16:26.990389Z,OK,
0xA5,2025-11-15T14:16:30.139857Z,OK,
0xA6,2025-11-15T14:16:33.290034Z,OK,
0xA7,2025-11-15T14:16:36.440939Z,OK,
0xA8,2025-11-15T14:16:39.589428Z,OK,
0xA9,2025-11-15T14:16:42.744843Z,OK,
0xAA,2025-11-15T14:16:45.889621Z,OK,
0xAB,2025-11-15T14:16:49.040017Z,OK,
0xAC,2025-11-15T14:16:52.190387Z,OK,
0xAD,2025-11-15T14:16:55.339472Z,OK,
0xAE,2025-11-15T14:16:58.490843Z,OK,
0xAF,2025-11-15T14:17:01.640164Z,OK,
0xB0,2025-11-15T14:17:04.799266Z,OK,
