file,rec,timestamp,mac,target,event,rssi,ad_hex,name,uuids16,mfg_hex,mfg_company
hci_snoop_2025_11_26_14_52_30.cfa,165,2025-11-26T14:52:39.146Z,f4:d0:00:00:02:1a,no,ADV_IND,-58,02 01 06 03 02 F0 FF 17 FF 1B 00 00 00 1A 02 00 00 D0 F4 9D 01 18 1F 06 00 1B 01 20 3E 03 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 9D 01 18 1F 06 00 1B 01 20 3E 03 00,0x001B
hci_snoop_2025_11_26_14_52_30.cfa,166,2025-11-26T14:52:39.146Z,f4:d0:00:00:02:1a,no,SCAN_RSP,-58,0D 09 54 68 65 72 6D 6F 42 65 61 63 6F 6E 05 12 18 00 38 01 02 0A 00,ThermoBeacon,,,
hci_snoop_2025_11_26_14_52_30.cfa,167,2025-11-26T14:52:39.162Z,62:53:00:00:0f:1f,no,ADV_IND,-80,02 01 06 03 02 F0 FF 17 FF 11 00 00 00 1F 0F 00 00 53 62 56 01 1B 00 08 00 2C 01 15 35 04 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 56 01 1B 00 08 00 2C 01 15 35 04 00,0x0011
hci_snoop_2025_11_26_14_52_30.cfa,168,2025-11-26T14:52:39.162Z,62:53:00:00:0f:1f,no,SCAN_RSP,-80,0D 09 54 68 65 72 6D 6F 42 65 61 63 6F 6E 05 12 18 00 38 01 02 0A 00,ThermoBeacon,,,
hci_snoop_2025_11_26_14_52_30.cfa,169,2025-11-26T14:52:39.346Z,f4:db:00:00:02:37,no,ADV_IND,-75,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 BB 0B 4D 01 51 04 59 4F 0E 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 BB 0B 4D 01 51 04 59 4F 0E 00,0x001B
hci_snoop_2025_11_26_14_52_30.cfa,170,2025-11-26T14:52:39.346Z,f4:db:00:00:02:37,no,SCAN_RSP,-75,0D 09 54 68 65 72 6D 6F 42 65 61 63 6F 6E 05 12 18 00 38 01 02 0A 00,ThermoBeacon,,,
hci_snoop_2025_11_26_14_52_30.cfa,171,2025-11-26T14:52:39.595Z,f4:db:00:00:00:d9,yes,ADV_IND,-37,02 01 06 03 02 F0 FF 15 FF 1B 00 10 00 D9 00 00 00 DB F4 B5 0B 61 01 0F 04 4B 7D 0E 00,,FFF0,1B 00 10 00 D9 00 00 00 DB F4 B5 0B 61 01 0F 04 4B 7D 0E 00,0x001B
hci_snoop_2025_11_26_14_52_30.cfa,172,2025-11-26T14:52:39.596Z,f4:db:00:00:00:d9,yes,SCAN_RSP,-38,0D 09 54 68 65 72 6D 6F 42 65 61 63 6F 6E 05 12 18 00 38 01 02 0A 00,ThermoBeacon,,,
hci_snoop_2025_11_26_14_52_30.cfa,175,2025-11-26T14:52:40.194Z,f4:db:00:00:02:37,no,ADV_IND,-72,02 01 06 03 02 F0 FF 17 FF 1B 00 00 00 37 02 00 00 DB F4 D0 01 DD 37 0D 00 0B 01 BF F5 07 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 D0 01 DD 37 0D 00 0B 01 BF F5 07 00,0x001B
hci_snoop_2025_11_26_14_52_30.cfa,177,2025-11-26T14:52:40.445Z,f4:db:00:00:00:d9,yes,ADV_IND,-37,02 01 06 03 02 F0 FF 15 FF 1B 00 10 00 D9 00 00 00 DB F4 B5 0B 61 01 0F 04 4C 7D 0E 00,,FFF0,1B 00 10 00 D9 00 00 00 DB F4 B5 0B 61 01 0F 04 4C 7D 0E 00,0x001B
hci_snoop_2025_11_26_14_52_30.cfa,178,2025-11-26T14:52:40.446Z,f4:db:00:00:00:d9,yes,SCAN_RSP,-38,0D 09 54 68 65 72 6D 6F 42 65 61 63 6F 6E 05 12 18 00 38 01 02 0A 00,ThermoBeacon,,,
hci_snoop_2025_11_26_14_52_30.cfa,179,2025-11-26T14:52:40.848Z,f4:d0:00:00:02:1a,no,ADV_IND,-74,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 1A 02 00 00 D0 F4 D1 0B 55 01 38 04 8F D7 0C 00,,FFF0,1B 00 00 00 1A 02 00 00 D0 F4 D1 0B 55 01 38 04 8F D7 0C 00,0x001B
hci_snoop_2025_11_26_14_52_30.cfa,181,2025-11-26T14:52:40.856Z,62:53:00:00:0f:1f,no,ADV_IND,-69,02 01 06 03 02 F0 FF 15 FF 11 00 00 00 1F 0F 00 00 53 62 8C 0B 46 01 F5 04 CA 8F 0E 00,,FFF0,11 00 00 00 1F 0F 00 00 53 62 8C 0B 46 01 F5 04 CA 8F 0E 00,0x0011
hci_snoop_2025_11_26_14_52_30.cfa,183,2025-11-26T14:52:41.043Z,f4:db:00:00:02:37,no,ADV_IND,-77,02 01 06 03 02 F0 FF 15 FF 1B 00 00 00 37 02 00 00 DB F4 BB 0B 4D 01 51 04 5B 4F 0E 00,,FFF0,1B 00 00 00 37 02 00 00 DB F4 BB 0B 4D 01 51 04 5B 4F 0E 00,0x001B
