file,rec,timestamp,dir,peer,att_op,att_name,handle,value_hex,value_len,first_byte
hci_snoop_2025_11_26_14_52_44.cfa,355,2025-11-26T14:53:01.758Z,sent,f4:db:00:00:00:d9,0x10,ReadByGrp-Req,,01 00 FF FF 00 28,6,0x01
hci_snoop_2025_11_26_14_52_44.cfa,360,2025-11-26T14:53:01.844Z,recv,f4:db:00:00:00:d9,0x11,ReadByGrp-Rsp,,06 01 00 07 00 00 18 08 00 0B 00 01 18 0C 00 1E 00 0A 18,19,0x06
hci_snoop_2025_11_26_14_52_44.cfa,361,2025-11-26T14:53:01.845Z,sent,f4:db:00:00:00:d9,0x10,ReadByGrp-Req,,1F 00 FF FF 00 28,6,0x1F
hci_snoop_2025_11_26_14_52_44.cfa,366,2025-11-26T14:53:01.934Z,recv,f4:db:00:00:00:d9,0x11,ReadByGrp-Rsp,,06 1F 00 FF FF E0 FF,7,0x06
hci_snoop_2025_11_26_14_52_44.cfa,367,2025-11-26T14:53:01.935Z,sent,f4:db:00:00:00:d9,0x08,ReadByType-Req,,01 00 07 00 02 28,6,0x01
hci_snoop_2025_11_26_14_52_44.cfa,372,2025-11-26T14:53:02.024Z,recv,f4:db:00:00:00:d9,0x01,ErrorRsp,,08 01 00 0A,4,0x08
hci_snoop_2025_11_26_14_52_44.cfa,373,2025-11-26T14:53:02.026Z,sent,f4:db:00:00:00:d9,0x08,ReadByType-Req,,01 00 07 00 03 28,6,0x01
hci_snoop_2025_11_26_14_52_44.cfa,377,2025-11-26T14:53:02.115Z,recv,f4:db:00:00:00:d9,0x09,ReadByType-Rsp,,07 02 00 02 03 00 00 2A 04 00 02 05 00 01 2A 06 00 02 07 00 04 2A,22,0x07
hci_snoop_2025_11_26_14_52_44.cfa,378,2025-11-26T14:53:02.115Z,sent,f4:db:00:00:00:d9,0x08,ReadByType-Req,,07 00 07 00 03 28,6,0x07
hci_snoop_2025_11_26_14_52_44.cfa,382,2025-11-26T14:53:02.205Z,recv,f4:db:00:00:00:d9,0x01,ErrorRsp,,08 07 00 0A,4,0x08
hci_snoop_2025_11_26_14_52_44.cfa,383,2025-11-26T14:53:02.206Z,sent,f4:db:00:00:00:d9,0x08,ReadByType-Req,,08 00 0B 00 02 28,6,0x08
hci_snoop_2025_11_26_14_52_44.cfa,390,2025-11-26T14:53:02.220Z,recv,f4:db:00:00:00:d9,0x01,ErrorRsp,,08 08 00 0A,4,0x08
