file,channel,first_byte,count
hci_snoop_2025_11_26_14_52_44.cfa,FFF5-Write,0x01,1
hci_snoop_2025_11_26_14_52_44.cfa,FFF5-Write,0x07,96
hci_snoop_2025_11_26_14_52_44.cfa,FFF5-Write,0x1A,1
hci_snoop_2025_11_26_14_52_44.cfa,FFF3-Notify,0x01,1
hci_snoop_2025_11_26_14_52_44.cfa,FFF3-Notify,0x07,96
hci_snoop_2025_11_26_14_52_44.cfa,FFF3-Notify,0x1A,1
hci_snoop_2025_11_26_15_00_04.cfa,FFF5-Write,0x01,1
hci_snoop_2025_11_26_15_00_04.cfa,FFF5-Write,0x07,528
hci_snoop_2025_11_26_15_00_04.cfa,FFF5-Write,0x1A,1
hci_snoop_2025_11_26_15_00_04.cfa,FFF3-Notify,0x01,1
hci_snoop_2025_11_26_15_00_04.cfa,FFF3-Notify,0x07,528
hci_snoop_2025_11_26_15_00_04.cfa,FFF3-Notify,0x1A,1
hci_snoop_2025_11_26_15_14_35.cfa,FFF5-Write,0x01,2
hci_snoop_2025_11_26_15_14_35.cfa,FFF5-Write,0x04,1
hci_snoop_2025_11_26_15_14_35.cfa,FFF5-Write,0x07,530
hci_snoop_2025_11_26_15_14_35.cfa,FFF5-Write,0x18,2
hci_snoop_2025_11_26_15_14_35.cfa,FFF5-Write,0x1A,1
hci_snoop_2025_11_26_15_14_35.cfa,FFF3-Notify,0x01,2
hci_snoop_2025_11_26_15_14_35.cfa,FFF3-Notify,0x07,530
hci_snoop_2025_11_26_15_14_35.cfa,FFF3-Notify,0x1A,1
old/hci_snoop_2018_01_01_12_06_26.cfa,FFF5-Write,0x01,3
old/hci_snoop_2018_01_01_12_06_26.cfa,FFF5-Write,0x07,372
old/hci_snoop_2018_01_01_12_06_26.cfa,FFF5-Write,0x1A,1
old/hci_snoop_2018_01_01_12_06_26.cfa,FFF3-Notify,0x01,3
old/hci_snoop_2018_01_01_12_06_26.cfa,FFF3-Notify,0x07,372
old/hci_snoop_2018_01_01_12_06_26.cfa,FFF3-Notify,0x1A,1
old/hci_snoop_2025_11_21_07_45_17.cfa,FFF5-Write,0x01,1
old/hci_snoop_2025_11_21_07_45_17.cfa,FFF5-Write,0x05,1
old/hci_snoop_2025_11_21_07_45_17.cfa,FFF5-Write,0x07,274
old/hci_snoop_2025_11_21_07_45_17.cfa,FFF5-Write,0x0F,1
old/hci_snoop_2025_11_21_07_45_17.cfa,FFF5-Write,0x18,1
old/hci_snoop_2025_11_21_07_45_17.cfa,FFF5-Write,0x19,1
old/hci_snoop_2025_11_21_07_45_17.cfa,FFF5-Write,0x1A,1
old/hci_snoop_2025_11_21_07_45_17.cfa,FFF3-Notify,0x01,1
old/hci_snoop_2025_11_21_07_45_17.cfa,FFF3-Notify,0x07,274
old/hci_snoop_2025_11_21_07_45_17.cfa,FFF3-Notify,0x1A,1
