file,write_rec,write_ts,write_hex,write_len,write_op,n_notifies,notify_rec,notify_ts,notify_hex,notify_len,notify_op,dt_ms,echo
hci_snoop_2025_11_26_14_52_44.cfa,446,2025-11-26T14:53:02.503Z,1A,1,0x1A,1,448,2025-11-26T14:53:02.519Z,1A 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,0x1A,16.0,yes
hci_snoop_2025_11_26_14_52_44.cfa,682,2025-11-26T14:53:31.381Z,01,1,0x01,1,684,2025-11-26T14:53:31.393Z,01 2F 06 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,20,0x01,12.0,yes
hci_snoop_2025_11_26_14_52_44.cfa,687,2025-11-26T14:53:31.431Z,07 00 00 00 00 03,6,0x07,1,689,2025-11-26T14:53:31.501Z,07 00 00 00 00 03 81 01 7B 01 79 01 B4 03 BC 03 CB 03 00 00,20,0x07,70.0,yes
hci_snoop_2025_11_26_14_52_44.cfa,691,2025-11-26T14:53:31.617Z,07 03 00 00 00 03,6,0x07,1,693,2025-11-26T14:53:31.724Z,07 03 00 00 00 03 74 01 67 01 5A 01 C0 03 CE 03 EF 03 00 00,20,0x07,107.0,yes
hci_snoop_2025_11_26_14_52_44.cfa,695,2025-11-26T14:53:31.796Z,07 06 00 00 00 03,6,0x07,1,697,2025-11-26T14:53:31.859Z,07 06 00 00 00 03 53 01 77 01 5C 01 04 04 BD 03 F4 03 00 00,20,0x07,63.0,yes
hci_snoop_2025_11_26_14_52_44.cfa,699,2025-11-26T14:53:31.984Z,07 09 00 00 00 03,6,0x07,1,701,2025-11-26T14:53:32.040Z,07 09 00 00 00 03 62 01 65 01 69 01 F0 03 E9 03 E4 03 00 00,20,0x07,56.0,yes
hci_snoop_2025_11_26_14_52_44.cfa,703,2025-11-26T14:53:32.164Z,07 0C 00 00 00 03,6,0x07,1,705,2025-11-26T14:53:32.220Z,07 0C 00 00 00 03 6B 01 6E 01 6F 01 DE 03 D9 03 DC 03 00 00,20,0x07,56.0,yes
hci_snoop_2025_11_26_14_52_44.cfa,707,2025-11-26T14:53:32.361Z,07 0F 00 00 00 03,6,0x07,1,709,2025-11-26T14:53:32.445Z,07 0F 00 00 00 03 71 01 72 01 6C 01 D3 03 CF 03 D5 03 00 00,20,0x07,84.0,yes
hci_snoop_2025_11_26_14_52_44.cfa,711,2025-11-26T14:53:32.567Z,07 12 00 00 00 03,6,0x07,1,713,2025-11-26T14:53:32.625Z,07 12 00 00 00 03 67 01 63 01 60 01 E1 03 E9 03 F1 03 00 00,20,0x07,58.0,yes
hci_snoop_2025_11_26_14_52_44.cfa,715,2025-11-26T14:53:32.749Z,07 15 00 00 00 03,6,0x07,1,717,2025-11-26T14:53:32.850Z,07 15 00 00 00 03 5D 01 5A 01 58 01 F9 03 00 04 06 04 00 00,20,0x07,101.0,yes
