file,count,first_byte,len,value_hex
hci_snoop_2025_11_26_14_52_44.cfa,1,0x01,1,01
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 00 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 02 01 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 03 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 05 01 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 06 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 08 01 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 09 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 0B 01 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 0C 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 0E 01 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 0F 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 11 01 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 12 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 14 01 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 15 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 17 01 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 18 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 1A 01 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 1B 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 1D 01 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 1E 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 21 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 24 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 27 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 2A 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 2D 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 30 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 33 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 36 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 39 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 3C 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 3F 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 42 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 45 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 48 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 4B 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 4E 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 51 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 54 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 57 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 5A 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 5D 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 60 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 63 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 66 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 69 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 6C 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 6F 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 72 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 75 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 78 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 7B 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 7E 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 81 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 84 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 87 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 8A 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 8D 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 90 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 93 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 96 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 99 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 9C 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 9F 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 A2 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 A5 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 A8 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 AB 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 AE 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 B1 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 B4 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 B7 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 BA 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 BD 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 C0 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 C3 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 C6 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 C9 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 CC 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 CF 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 D2 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 D5 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 D8 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 DB 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 DE 00 00 00 03
hci_snoop_2025_11_26_14_52_44.cfa,1,0x07,6,07 E1 00 00 00 03
